age,age_uncertainty_older,age_uncertainty_younger,co2,co2_uncertainty_higher,co2_uncertainty_lower,modern_latitude,modern_longitude
55709,,400,652,170,134,32.65167,158.50593
55716,,400,641,165,120,32.65167,158.50593
55739,,400,667,167,128,32.65167,158.50593
55782,,400,688,126,119,32.65167,158.50593
55787,,400,706,197,149,32.65167,158.50593
55788,,400,772,162,136,32.65167,158.50593
55827,,400,883,273,218,32.65167,158.50593
55844,,400,1079,504,271,32.65167,158.50593
55850,,400,1310,622,365,32.65167,158.50593
55853,,400,1595,640,394,32.65167,158.50593
55872,,400,1883,697,450,32.65167,158.50593
55872,,400,1883,1054,685,32.65167,158.50593
55890,,400,1741,610,408,32.65167,158.50593
55913,,400,2085,1058,599,32.65167,158.50593
55924,,400,2266,1066,631,32.65167,158.50593
55924,,400,2272,1244,727,32.65167,158.50593
55924,,400,2226,1401,793,32.65167,158.50593
55941,,400,694,118,149,32.65167,158.50593
55945,,400,668,149,169,32.65167,158.50593
55949,,400,665,105,134,32.65167,158.50593
55951,,400,640,164,159,32.65167,158.50593
55959,,400,633,97,125,32.65167,158.50593
6.18,,,253.31,4.46,16.23,0.31972,159.36889
14.25,,,203.79,11.12,12.84,0.31972,159.36889
27.86,,,187.96,3.95,12.18,0.31972,159.36889
36.85,,,196.55,5.16,11.25,0.31972,159.36889
51.53,,,200.85,8.36,9.94,0.31972,159.36889
90.03,,,223.53,4.25,12.82,0.31972,159.36889
90.85,,,244.41,6.15,12.27,0.31972,159.36889
105.7,,,266.6,12.22,8.58,0.31972,159.36889
111.1,,,263.49,12.26,9,0.31972,159.36889
128.22,,,220.15,5.54,12.69,0.31972,159.36889
146.2,,,201.41,7.36,8.53,0.31972,159.36889
163.93,,,202.49,8.37,7.92,0.31972,159.36889
198.46,,,224.44,8.21,9.26,0.31972,159.36889
212.49,,,243.43,9.05,9.34,0.31972,159.36889
243.96,,,204.53,9.84,7.95,0.31972,159.36889
246.94,,,191.24,10.92,9.73,0.31972,159.36889
252.53,,,238.86,11.52,7.08,0.31972,159.36889
254.81,,,188.81,9.5,8.38,0.31972,159.36889
259.28,,,235.25,13.51,8.65,0.31972,159.36889
266.6,,,188.04,5.67,11.49,0.31972,159.36889
297.04,,,224.52,6.93,12.87,0.31972,159.36889
316,,,265.72,15.46,10.07,0.31972,159.36889
329.52,,,230.18,11.82,8.82,0.31972,159.36889
360.18,,,196.64,8.73,8.1,0.31972,159.36889
366.82,,,206.67,7.6,12.82,0.31972,159.36889
373.6,,,274.59,14.9,9.68,0.31972,159.36889
379.26,,,217.56,10.46,7.49,0.31972,159.36889
423.56,,,270.49,20.23,13.4,0.31972,159.36889
426.1,,,210.27,14.45,10.6,0.31972,159.36889
529.43,,,239.13,11.85,9.53,0.31972,159.36889
541.26,,,219.1,9.33,7.77,0.31972,159.36889
581.2,,,274.76,13.46,9.98,0.31972,159.36889
588.33,,,227.16,10.56,8.84,0.31972,159.36889
613.16,,,247.32,8.78,11.96,0.31972,159.36889
616.96,,,254.89,12.28,9.79,0.31972,159.36889
635.5,,,203.15,13.75,10.39,0.31972,159.36889
670.1,,,223.84,11.39,9.79,0.31972,159.36889
700.1,,,250.3,10.14,8.75,0.31972,159.36889
710.1,,,233.13,10.68,9.33,0.31972,159.36889
720.1,,,211.5,12.05,9.74,0.31972,159.36889
728,,,214.48,10.34,8.96,0.31972,159.36889
784.87,,,228.31,10.91,8.8,0.31972,159.36889
800.95,,,232.87,11.83,10.36,0.31972,159.36889
849.84,,,268.26,13.82,11.52,0.31972,159.36889
859.88,,,265.55,14.21,11.96,0.31972,159.36889
863.91,,,273.7,15.8,13.06,0.31972,159.36889
872.5,,,305.36,23.23,18.33,0.31972,159.36889
885.77,,,223.08,14.37,12.79,0.31972,159.36889
903.54,,,181.68,10.98,8.06,0.31972,159.36889
922.77,,,246.17,16.22,14.52,0.31972,159.36889
932.51,,,232.48,12.24,11.36,0.31972,159.36889
941.81,,,255.27,14.34,12.83,0.31972,159.36889
949.65,,,258.34,9.3,10.71,0.31972,159.36889
953.2,,,229.25,11.96,10.75,0.31972,159.36889
961.49,,,295.67,18.38,15.39,0.31972,159.36889
970.08,,,252.62,10.59,10.38,0.31972,159.36889
980.92,,,259.77,15.56,14.2,0.31972,159.36889
1012.33,,,209.24,9.05,11.28,0.31972,159.36889
1032.93,,,280.41,17.54,15.16,0.31972,159.36889
1060.14,,,261.47,13.34,11.75,0.31972,159.36889
1079.39,,,255.73,11.62,10.98,0.31972,159.36889
1093.39,,,269.36,14.47,12.82,0.31972,159.36889
1108.19,,,263.05,16.16,14.07,0.31972,159.36889
1113.21,,,255.17,13.87,12.72,0.31972,159.36889
1138.6,,,280.43,28.89,22.99,0.31972,159.36889
1158.43,,,244.18,12.62,11.49,0.31972,159.36889
1172.41,,,256.9,11.06,10.19,0.31972,159.36889
1183.97,,,258.79,13.06,11.7,0.31972,159.36889
1220.05,,,292.76,21.49,17.29,0.31972,159.36889
1236.24,,,260.83,15.47,13.49,0.31972,159.36889
1247.34,,,277.14,17.73,14.83,0.31972,159.36889
1270.01,,,260.6,13.19,11.29,0.31972,159.36889
1282.96,,,239.82,9.01,10.07,0.31972,159.36889
1294.52,,,226.39,9.94,8.32,0.31972,159.36889
1297.3,,,243.17,11.78,10.23,0.31972,159.36889
1301.92,,,249.9,13.8,11.08,0.31972,159.36889
1307.47,,,280.57,15.57,12.47,0.31972,159.36889
1316.26,,,281.01,15.97,12.71,0.31972,159.36889
1326.44,,,242.35,9.8,8.45,0.31972,159.36889
1334.77,,,271.02,14.95,12.31,0.31972,159.36889
1343.6,,,309.18,20.67,15.33,0.31972,159.36889
1352.85,,,311.37,22.69,16.65,0.31972,159.36889
1358.77,,,290.05,17.61,13.41,0.31972,159.36889
1364.19,,,233.47,7.33,10.96,0.31972,159.36889
1371.31,,,277.39,14.49,11.33,0.31972,159.36889
1381.95,,,325.93,21.86,15.31,0.31972,159.36889
1391.33,,,308.66,16.52,12.34,0.31972,159.36889
1401.2,,,310.84,26.68,19.91,0.31972,159.36889
1410.08,,,280.89,17.2,13.08,0.31972,159.36889
1420.54,,,310.85,23.27,16.57,0.31972,159.36889
1426.13,,,247.42,15.45,11.93,0.31972,159.36889
1429.91,,,230.04,13.48,10.05,0.31972,159.36889
1436.94,,,346.85,26.49,18.63,0.31972,159.36889
1444.71,,,253.73,14,11.16,0.31972,159.36889
1451.37,,,282.46,16.78,12.48,0.31972,159.36889
1471.25,,,301.22,17.55,12.89,0.31972,159.36889
1479.09,,,294.14,19.66,14.9,0.31972,159.36889
1486.5,,,276.39,15.72,11.64,0.31972,159.36889
1494.54,,,267.79,13.26,9.97,0.31972,159.36889
1499.12,,,263.02,13.16,9.97,0.31972,159.36889
1507.84,,,258.19,13.45,10.82,0.31972,159.36889
1518.2,,,282.48,15.94,12.02,0.31972,159.36889
1530.04,,,237.71,10.26,8.43,0.31972,159.36889
1537.93,,,273.37,14.87,11.05,0.31972,159.36889
1549.78,,,258.07,13.87,10.91,0.31972,159.36889
1559.64,,,275.12,16.78,12.49,0.31972,159.36889
1569.51,,,268.92,16.03,12.4,0.31972,159.36889
1573.95,,,213.22,13.1,11.38,0.31972,159.36889
1584.81,,,272.4,16.94,12.89,0.31972,159.36889
1596.65,,,279.79,17.1,12.86,0.31972,159.36889
1601.95,,,280.82,16.24,11.4,0.31972,159.36889
1604.73,,,262.6,14.56,10.92,0.31972,159.36889
1612.64,,,194.48,10.7,10.23,0.31972,159.36889
1622.43,,,259.65,14.87,11.86,0.31972,159.36889
1655.25,,,295.17,18.4,12.23,0.31972,159.36889
1658.46,,,258.34,16.15,13.34,0.31972,159.36889
1664.51,,,232.58,11.57,9.6,0.31972,159.36889
1670.14,,,230.75,10.84,9.12,0.31972,159.36889
1680.43,,,279.18,17.36,12.23,0.31972,159.36889
1683.75,,,237.07,14.95,13.56,0.31972,159.36889
1693.28,,,232.53,13.72,12.08,0.31972,159.36889
1709.75,,,249.07,12.78,10.37,0.31972,159.36889
1720.6,,,247.49,13.4,11.5,0.31972,159.36889
1729.98,,,281.54,17.03,12.14,0.31972,159.36889
1740.34,,,267.4,15.94,13.13,0.31972,159.36889
1744.78,,,238.33,11.77,10.23,0.31972,159.36889
1757.61,,,277.08,16.56,11.74,0.31972,159.36889
1767.48,,,265.91,15.09,11.86,0.31972,159.36889
1779.31,,,228.7,13.02,12.31,0.31972,159.36889
1789.51,,,249.56,16.1,14.79,0.31972,159.36889
1800.4,,,253.77,15.56,13.89,0.31972,159.36889
1809.25,,,274.81,19.14,15.43,0.31972,159.36889
1815.19,,,263.63,16.32,14.33,0.31972,159.36889
1817.27,,,228.67,13.83,13.3,0.31972,159.36889
1824.07,,,221.51,9.65,9.62,0.31972,159.36889
1830,,,264.06,15.11,13.24,0.31972,159.36889
1835.92,,,229.62,12.38,11.56,0.31972,159.36889
1842.17,,,261.92,15.18,13.54,0.31972,159.36889
1851,,,266.59,15.97,14.39,0.31972,159.36889
1861.44,,,248.59,12.52,11.58,0.31972,159.36889
1904.52,,,238.31,9.92,9.79,0.31972,159.36889
1920.65,,,265.48,14.21,13.22,0.31972,159.36889
2017.33,,,276.7,15.86,14.7,0.31972,159.36889
2035.91,,,273.25,12.71,12.09,0.31972,159.36889
2055.34,,,237.57,10.18,10.46,0.31972,159.36889
2160.96,,,212.87,9.24,12.49,0.31972,159.36889
2191.97,,,201.94,7.98,13.54,0.31972,159.36889
2199.38,,,250,12.26,12.65,0.31972,159.36889
2218.03,,,227.8,15.16,16.17,0.31972,159.36889
2233.61,,,233.4,11.33,12.36,0.31972,159.36889
2251.71,,,265.49,13.59,13.15,0.31972,159.36889
2256.42,,,231.55,8.27,14.99,0.31972,159.36889
2259.85,,,231.14,10.74,12.35,0.31972,159.36889
2263.92,,,235.88,8.17,17.78,0.31972,159.36889
2263.92,,,225.29,12.36,13.7,0.31972,159.36889
2268.73,,,250.5,13.51,13.71,0.31972,159.36889
2283.53,,,222.64,8.32,15.13,0.31972,159.36889
2294.63,,,224.53,13.79,14.99,0.31972,159.36889
2299.82,,,223.99,10.66,12.39,0.31972,159.36889
2316.84,,,268.67,13.9,13.36,0.31972,159.36889
2321.62,,,237.22,12.11,13.01,0.31972,159.36889
2346.21,,,261.43,16.35,16.18,0.31972,159.36889
2350.94,,,204.6,12.8,14.03,0.31972,159.36889
2357.97,,,232,17.42,17.92,0.31972,159.36889
2373.14,,,219.8,13.11,13.97,0.31972,159.36889
2379.78,,,231.24,12.34,13.28,0.31972,159.36889
2380.66,,,229.56,13.61,14.75,0.31972,159.36889
2504.12,,,205,11.47,13.81,0.31972,159.36889
2674.01,,,216.95,9.49,15.71,0.31972,159.36889
2746.38,,,200.46,11.22,15.1,0.31972,159.36889
2857.09,,,181.36,9.03,16.92,0.31972,159.36889
3007.56,,,214.43,11.8,15.03,0.31972,159.36889
3033.9,,,235.08,11.92,14.16,0.31972,159.36889
3194,,,239.88,17.21,17.98,0.31972,159.36889
3265.84,,,211.09,11.25,15.11,0.31972,159.36889
3316.63,,,255.02,10.62,21.24,0.31972,159.36889
3321.9,,,266.66,7.59,17.42,0.31972,159.36889
3326.9,,,228.23,12.04,14.21,0.31972,159.36889
3337.72,,,248.13,10.17,20.68,0.31972,159.36889
3343.27,,,265.8,8.47,17.53,0.31972,159.36889
3348.27,,,237.19,8.3,18.32,0.31972,159.36889
3354.09,,,243.94,8.85,19.48,0.31972,159.36889
3362.97,,,278.07,8.79,16.75,0.31972,159.36889
3368.22,,,271.47,9.29,20.15,0.31972,159.36889
3373.27,,,288.69,8.36,19.08,0.31972,159.36889
3382.88,,,310.17,10.35,14.64,0.31972,159.36889
3387.82,,,299.13,14.09,13.86,0.31972,159.36889
3392.76,,,304.87,13.29,12.96,0.31972,159.36889
3395.72,,,275.79,11.72,14.25,0.31972,159.36889
3400.65,,,265.1,12.28,13.52,0.31972,159.36889
3405.58,,,259.41,12.33,13.58,0.31972,159.36889
3410.27,,,253.87,10.39,15.38,0.31972,159.36889
3414.96,,,244.78,8.92,16.86,0.31972,159.36889
3419.64,,,273.04,10.35,14.77,0.31972,159.36889
3447.03,,,264.71,9.67,14.84,0.31972,159.36889
3605.92,,,269,8.51,16.54,0.31972,159.36889
3657.82,,,254.99,10.54,15.09,0.31972,159.36889
3780.43,,,193.42,8.42,19.41,0.31972,159.36889
3958.76,,,217.18,7.86,19.19,0.31972,159.36889
4056.8,,,233.1,10.75,14.85,0.31972,159.36889
4139.6,,,206.49,8.11,18.9,0.31972,159.36889
4142.4,,,209.81,7.16,18.31,0.31972,159.36889
4146,,,233.34,8.31,16.13,0.31972,159.36889
4150.2,,,186,8.45,16.79,0.31972,159.36889
4154.2,,,246.57,6.9,18.37,0.31972,159.36889
4158.4,,,261.38,11.54,13.58,0.31972,159.36889
4162.2,,,266.52,12.86,14.97,0.31972,159.36889
4166.37,,,234.67,10.58,14.89,0.31972,159.36889
4171.1,,,216.14,7.8,18.75,0.31972,159.36889
4173.4,,,222.92,8.42,16.96,0.31972,159.36889
4176.8,,,209.42,9.22,16.11,0.31972,159.36889
4181.4,,,222.89,12.01,15.58,0.31972,159.36889
4185.4,,,239.36,12.52,15.46,0.31972,159.36889
4189.4,,,222.65,9.42,16.24,0.31972,159.36889
4193.4,,,207.19,7.55,17.43,0.31972,159.36889
4197.4,,,215.97,8.5,20.12,0.31972,159.36889
4201.4,,,233.61,11.2,14.19,0.31972,159.36889
4203.4,,,224.37,10.79,14.85,0.31972,159.36889
4207.4,,,215.26,8.97,16,0.31972,159.36889
4211.4,,,225.12,9.16,16.01,0.31972,159.36889
4215.73,,,215.6,8.22,16.9,0.31972,159.36889
4220.12,,,243.14,9.59,15.09,0.31972,159.36889
4224.27,,,247.69,9.27,15.44,0.31972,159.36889
4228.35,,,212.58,6.9,17.95,0.31972,159.36889
4231.6,,,204.75,7.44,17.39,0.31972,159.36889
4234.4,,,213.17,10.5,14.46,0.31972,159.36889
4238.4,,,219.66,6.98,17.38,0.31972,159.36889
4242.4,,,187.49,7.81,18.55,0.31972,159.36889
4246.4,,,221.26,6.7,17.58,0.31972,159.36889
4250.4,,,194.54,6.87,17.07,0.31972,159.36889
4254.4,,,203.18,8.97,16.09,0.31972,159.36889
4258.82,,,225.05,9.24,14.89,0.31972,159.36889
4263.32,,,210.86,7.88,19.04,0.31972,159.36889
4266.2,,,220,6.85,16.69,0.31972,159.36889
4269.4,,,218.52,9.06,15.94,0.31972,159.36889
4273.4,,,191.82,7.82,16.51,0.31972,159.36889
4277.8,,,230.21,6.98,17.95,0.31972,159.36889
4281.4,,,229.28,9.04,15.27,0.31972,159.36889
5061.4,,,327.07,15.67,14.76,0.31972,159.36889
5084.5,,,305.86,14.62,14.35,0.31972,159.36889
5156.46,,,236.39,13.43,15.7,0.31972,159.36889
7274.45,,,304.62,20.83,22.94,0.31972,159.36889
7684.85,,,218.83,14.86,25.08,0.31972,159.36889
8093.52,,,223.87,16.72,25.46,0.31972,159.36889
8502.62,,,234.94,14.01,12.61,0.31972,159.36889
8910,,,243.93,20.65,23.95,0.31972,159.36889
9325.58,,,241.59,21.32,25.27,0.31972,159.36889
9735.98,,,247.86,26.15,23.05,0.31972,159.36889
12000,,,328.47,66.86,37.98,0.31972,159.36889
13060,,,363.71,68.5,41.51,0.31972,159.36889
15040,,,406.42,45.5,28.98,0.31972,159.36889
15990,,,363.39,46.34,30.06,0.31972,159.36889
17160,,,364.93,46.07,29.36,0.31972,159.36889
18100,,,383.79,46.48,31.15,0.31972,159.36889
19060,,,343.85,46.77,30.13,0.31972,159.36889
15541.34,,,299.78,113.54,91.83,-16.73972,115.53611
15599.55,,,441.65,176.26,141.6,-16.73972,115.53611
15612.77,,,468.56,187.49,149.56,-16.73972,115.53611
15625.99,,,329.84,122.8,100.66,-16.73972,115.53611
15652.42,,,293.96,112.02,91.68,-16.73972,115.53611
15692.12,,,287.24,129.83,97.9,-16.73972,115.53611
15718.63,,,505.28,353.16,209.06,-16.73972,115.53611
15758.52,,,290.82,122.26,94.66,-16.73972,115.53611
15771.86,,,315.22,137.01,107.76,-16.73972,115.53611
15806.64,,,519.62,237.65,175.4,-16.73972,115.53611
15838.92,,,435.35,183.6,143.31,-16.73972,115.53611
15893.18,,,281.02,103.98,87.43,-16.73972,115.53611
15953.66,,,291.32,156.27,110.45,-16.73972,115.53611
15961.99,,,318.06,122.24,99.13,-16.73972,115.53611
15975.91,,,594.5,264.27,196.71,-16.73972,115.53611
15989.89,,,322.46,128.56,101.97,-16.73972,115.53611
16060.73,,,292.61,109.8,91.45,-16.73972,115.53611
16118.71,,,405.7,195.19,143.35,-16.73972,115.53611
16148.2,,,308.77,114.24,94.94,-16.73972,115.53611
16178.04,,,270.82,102.39,83.19,-16.73972,115.53611
16208.27,,,236.09,101.8,78.63,-16.73972,115.53611
16238.9,,,476.52,251.96,172.13,-16.73972,115.53611
16269.96,,,277.52,100.68,84.31,-16.73972,115.53611
16301.47,,,466.85,188.09,149.88,-16.73972,115.53611
16333.45,,,262.18,94.56,79.01,-16.73972,115.53611
16365.94,,,502.22,207.29,161.62,-16.73972,115.53611
16398.95,,,430.21,171.4,137.4,-16.73972,115.53611
16415.66,,,221.48,78.99,65.59,-16.73972,115.53611
16466.65,,,531.66,338.72,212.86,-16.73972,115.53611
16591.05,,,270.85,96.91,82.47,-16.73972,115.53611
16646.9,,,241.5,85.47,74.43,-16.73972,115.53611
16685.05,,,235.95,93.07,73.7,-16.73972,115.53611
16763.69,,,338.07,134.1,106.66,-16.73972,115.53611
16975.21,,,206.54,86.75,68.26,-16.73972,115.53611
17113.59,,,252.15,89.55,75.02,-16.73972,115.53611
22022,,,277.72,178.45,116.04,3.71,-42.9
22161,,,393.09,286.34,170.75,3.71,-42.9
22442,,,380.95,261.05,164.83,3.71,-42.9
22510,,,315.84,204.46,132.25,3.71,-42.9
22521,,,371.11,254.95,158.39,3.71,-42.9
22580,,,367.21,251.33,156.85,3.71,-42.9
22589,,,291.65,188.26,121.53,3.71,-42.9
22661,,,315.91,210.93,133.49,3.71,-42.9
22673,,,348.85,246.75,151.52,3.71,-42.9
22696,,,290.14,184.7,121.45,3.71,-42.9
22728,,,229.17,138.83,94.58,3.71,-42.9
22736,,,271.62,169.17,113.28,3.71,-42.9
22810,,,228.01,137.22,93.78,3.71,-42.9
22815,,,233.15,141.17,96.98,3.71,-42.9
22820,,,250.59,155.19,104.28,3.71,-42.9
22872,,,346.68,233.82,147.81,3.71,-42.9
22895,,,300.45,194.98,126.65,3.71,-42.9
22939,,,252.83,158.37,105.69,3.71,-42.9
22968,,,237.64,145.18,98.41,3.71,-42.9
23008,,,248.25,152.78,102.79,3.71,-42.9
23023,,,261.28,166.23,109.23,3.71,-42.9
23075,,,292.57,185.62,123.27,3.71,-42.9
23087,,,286.3,184.66,121.05,3.71,-42.9
23094,,,270.56,172.57,113.17,3.71,-42.9
23157,,,255.97,160.06,106.36,3.71,-42.9
23249,,,291.18,187.66,122.58,3.71,-42.9
23264,,,285.89,183.92,119.96,3.71,-42.9
23306,,,250.24,156.7,104.62,3.71,-42.9
23338,,,256.24,159.68,106.81,3.71,-42.9
23575,,,252.89,158.79,105.91,3.71,-42.9
23579,,,248.88,154.6,104,3.71,-42.9
23662,,,249.15,154.4,104.02,3.71,-42.9
23733,,,290.86,187.78,123.27,3.71,-42.9
23797,,,257.3,167.35,109.54,3.71,-42.9
23821,,,258.85,163.34,108.98,3.71,-42.9
23857,,,326.18,252.31,146.16,3.71,-42.9
23928,,,243.75,153.47,102.91,3.71,-42.9
23978,,,221.61,137.4,93.65,3.71,-42.9
24018,,,261.88,178.22,112.95,3.71,-42.9
21167.32,,,335.94,209.28,137.97,10.1,162.87
21396.08,,,299.99,180.1,122.09,10.1,162.87
21839.7,,,305.89,192.55,126.99,10.1,162.87
3.91,2,2,276.03,46.37,41.82,12.74,-78.74
4.63,2,2,263.95,40.93,36.97,12.74,-78.74
5.02,2,2,284.34,47.45,42.05,12.74,-78.74
7.82,2,2,258.24,45.11,38.86,12.74,-78.74
7.82,2,2,269.7,50.5,43.82,12.74,-78.74
9.49,2,2,267.94,46,41.06,12.74,-78.74
10.32,2,2,240.03,47.98,42.09,12.74,-78.74
11.65,2,2,258.42,46.63,41.23,12.74,-78.74
14.01,2,2,233.99,42.31,37.25,12.74,-78.74
15.07,2,2,230.14,41.11,35.7,12.74,-78.74
15.07,2,2,217.67,40.65,36.54,12.74,-78.74
17.26,2,2,222.06,38.03,34.46,12.74,-78.74
19.19,2,2,161.35,33.21,30.89,12.74,-78.74
21.12,2,2,199.34,34.15,32.16,12.74,-78.74
22.61,2,2,201.6,36.2,32.92,12.74,-78.74
24.38,2,2,179.6,32.58,30.36,12.74,-78.74
25.51,2,2,170.82,36.94,32.39,12.74,-78.74
